address,balance
0xea0c048c728578b1510ebdf9b692e8936d6fbc90,6997053
0x2e5ef37ade8afb712b8be858fec7389fe32857e2,6693130
0xcb39b35cac71086e38abc9dc1c787102a6d6f156,6512920
0xeb6b26fd5e9bfc26f19d95c13e3d92b7915cbdd6,6000001
0xf167c89f45064f1f1c2d4410e42934c6f480d842,5793256
0xceec24ac02d99d2d9f36a8163df82a895b5d2ae1,5180000
0x8aa605bdc6835d6541312a35082091669ba68075,5099999
0x4841b005ea38ca0ef6f7aa85795fa885449b4b03,5000000
0xafedc7f0673be3216bacec349cc1819462a9004e,5000000
0x00700052c0608f670705380a4900e0a8080010cc,4996626
0x4caf58a4cdaf1a2b2c60ffbc5742b73fde7ea008,4778130
0xaa3e78e700f93c7b81553a7d7c10899ba5349bc5,4697709
0xaba4633c4829ec8c953cfff60d8b3650df02697f,4126335
0xbe9fe51ef6d84d3c549d2253495d8fb6a9e3064a,4075303
0x3f8c78b60921a825e3a1f89bc817267b3e311d24,4052287
0x4a49e51ad63a8e8bd07692da7a293bab4a0d8bcc,3960206
0x3fb137161365f273ebb8262a26569c117b6cbafb,3915545
0x3604582f56565d7060d73829ffb9ebd579218dca,3023323
0xfac436cd60a9cff4b673338aa2c1a71a18144bdf,3003590
0x4ff1d40fb7b56665bf95d8d8e3a5320de46709a1,2798741
0x8e30ddbe4580408b0597a4cfd4ba981681fc2985,2729997
0x64f317b6000caf167355488665a36d70204d02e4,2605050
0xaff1691f549c162f38de0f51a325f0f14ae49cf6,2587801
0xa99f567a0604d6cca6afa51ec2c82ce2d0b48368,2584348
0x2d2ed2de127e0702f9debe0d945450b0fd4635c0,2501594
0xe39b012ab3b20e94a9beea557eb0de4171d4d3e4,2400000
0x6e80164ea60673d64d5d6228beb684a1274bb017,2387231
0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,2371093
0xe27ef6e6d8151cc400baf432e929607b80b8a5cf,2356567
0xf1a2e9e66b1e93f170b4ab30839d9f578eda64e3,2237032
0x8cbb534874bab83e44a7325973d2f04493359df8,2190990
0x19602f8dbf7d95e3e83bd854977f7782ad47b4ce,2000270
0x26b7b26e604df2c6a8f0fd8c0f2dbdfcabe2ddeb,2000000
0x942aef058cb15c9b8b89b57b4e607d464ed8cd33,2000000
0x95e480d9e460d7405439519bf26ffb8b90f2fae7,2000000
0x8eca0b3b20f09013ab102ecfdac39e4413a94cd9,1999997
0x4dfa7088727a8683da8e56f83b615688dbe93ec7,1999677
0xbad74c2c4429e6039b3b2f563788d2c97e02b31c,1859996
0xbba2379f5cc9a2f248c5cf18ad72379ae2478f42,1755394
0x29d4cdfee8f533af8529a9e1517b580e022874f7,1706574
0x7a9287178cab99b0666359e146450de21b855e83,1633662
0x0cd67ab9fb2102e0759345273d0297306bcb539e,1631806
0x3ef238c36035880efbdfa239d218186b79ad1d6f,1515024
0xa9c3d444f0a94ae2ae24363d4bd38c3e7ee282ea,1414238
0xdbdb47d07a6e34829e67d85cd235c9cb3fe77df5,1353943
0xec5cf3c2e256dc4082332694edf134ff368c5b03,1333625
0x57c8b21dcb94c2a1dd292be385eea587bc5891b8,1324542
0x39041f1b366fe33f9a5a79de5120f2aee2577ebc,1215585
0xcf5540fffcdc3d510b18bfca6d2b9987b0772559,1154111
0xaff23ffdcd3d2ed9c060f1762a47223ea2f22be8,1103558
0x80fd78a779699f87ab8ffebe0998fae95c3fdcc1,1055760
0xfbe5d2ed00b3d620aa0461cdd9d28191547d343c,1019903
0x437cc33344a0b27a429f795ff6b469c72698b291,1000001
0x239dc955e78e88721a8939919c20310889ea53bd,1000000
0x53207e216540125e322cda8a693b0b89576deb46,1000000
0x7306ac7a32eb690232de81a9ffb44bb346026fab,1000000
0x09d6e34ce24d54890ff0bc6a090b5f880f8c729f,999997
0x8401e07bf943087499a7c5dbae8d338452666666,999852
0x5cd3bb9b47bde250c9667ab7338dc72e687910c7,999826
0xee15276f8dc65d583b17c18d3faf30416d998fe8,999820
0x7933cd3b02de77b043ff0f39af4d5cd2b2c0fd9c,999343
0x533195cddb5f92afc13b167de4cd7c1c0d1a6da6,998221
0x80a344d8911207f7981a6f05298c5fa91106a76f,997344
0x01008a8e5cfac17af30d9d33ef6912bf8333fe4e,996805
0x22e5bda1226f098303870727538cebfca7167c3a,996509
0xb3ee28df12937b05f383ddfdd8f0784a9a617332,983446
0x06590fef209ebc1f8eef83da05984cd4eff0d0e3,969999
0x891a534e7fbf12d34e74e9fffa8f6fe28158d0d3,943681
0xf507009d6cbd5c6cbb829805d4b6e59304d88796,905075
0xc97783555c83e0a7b99fd9913e7745a007aeda53,884995
0xb0da5965d43369968574d399dbe6374683773a65,870068
0x5cb2a4377436afb9fee83ad040063cca26d78191,795431
0x6f1142cd222942f444e9ec24a80a56faa5a0629e,784740
0x9fd5f126bc52f7735f8aeb8a994c5aa9e799a32f,782312
0x5af239590ac2497a5eeb07527d87fef914ea1a65,769998
0x72010347e34c15e680a39081705b9caf1755f82d,749996
0xbf66a17ecb9a5b09d096e48a97b63b4cd220071f,724823
0x6c38c0c1fbe42c3ccadc3599f82becb8a7f522e9,715560
0x12b1a4226ba7d9ad492779c924b0fc00bdcb6217,650876
0xc6dd9976066f3364b4d6a72cd4f1fa0468327aa7,642125
0x0ca59ac8103081894d1d0ad52dcdf83797111b1c,581032
0x1c37c8805afaabea0ae347595a40bf40b5435123,558175
0x32d2f3ab411dbc25d3ce1109fa4013ce6a3bdbc4,547727
0x602ca3517e3d555ba966cfb3e3a489993a6e973d,499910
0x0000000000bbf5c5fd284e657f01bd000933c96d,492359
0xbed6a276b55a4cea68e9d573a568ae5671e4d47a,441520
0x56eca7280dd0acbcbff11de3ddd31094641c9021,441023
0x8cf6d3eb74da9e339a38f193e3fb267000ee9cdf,425500
0x65b7fd49ea297b02af9564158d23332ba14b08d1,400017
0xb18802b64ac7e7e83df0b205eb105a1dbe3f220c,390058
0x752bdc4c5a505a5ba4f895fe2925dfb62dd2810b,381272
0xd3b2f09c8b1f14d3df1b99f1af329d30ed351391,338512
0x13ccb6e28f22e2f6783badedce32cc74583a3647,337592
0xddb54c1ec6c0b78e7d27382304dfa3b27ee9dbb6,293077
0x985de23260743c2c2f09bfdec50b048c7a18c461,287386
0x27f7e530d0c1ab780d8d6962e9cfd45a9c96d8b9,272757
0x171e659aba00c78e0e08c2c5e9c6b58c81199f16,246925
0x12010ea9f9be5508a5c35799d8eb79086837102e,244365
0x7cb297533d4b7a187f252c3a0d72a282802dd949,241038
0x00e140d2153a178385867d500d8fb0ced5256580,159659
0x1981e3b68c185cf53e0fcf55e7148d9dfddc8a53,154921
0x49e96e255ba418d08e66c35b588e2f2f3766e1d0,153088
0x76a2c1105a121c637d6ce3a6d75711964337de75,149817
0xd17ae94e595c3987c277114aecb377e89450bc07,137430
0x3cc3ae64f26c8fa893358e5ae7717a0d001c0940,111394
0x5d0ec8ef587c1678412af93d2de49a1e269d82a7,99999
0xbfc330020e3267cea008718f1712f1da7f0d32a9,99983
0x355e63c1ee07e8c80af0f306383f404a6cddcf3e,99982
0x357055e79edc7e1a01a3070bce4261a66001a000,99982
0xd4eee3d50588d7dee8dcc42635e50093e0aa8cc0,98979
0x0e26b2af0cad6eda72fd0d2b39cfb4d71bab4a36,95042
0x2cffed5d56eb6a17662756ca0fdf350e732c9818,84145
0x8dc3c6e22cd5baaa5e6b9cf2e3083cf1c41b4523,77147
0x5175a9f0424c60c9c526a23be320fa0b5364b4d2,71639
0x00000047bb99ea4d791bb749d970de71ee0b1a34,71100
0x89f2de2b541c443745e180b239a8110abb9d00f4,69786
0x4d5401b9e9dcd7c9097e1df036c3afafc35d604f,64347
0x000000fee13a103a10d593b9ae06b3e05f2e7e1c,62488
0xfe940bfe535013a52e8e2df9644f95e3c94fa14b,60854
0x9b2a3b92b1d86938d3ed37b0519952c227ba6d09,60656
