address,balance
0x75ac4d1209f5fc70b820fea29d3e748610b75384,9
0x9cd5ccfddd4ec6b5f0c43838df822bfbdd00946a,9
0xb174b68fdda04bb602a94348cc3fb6bf3cb72674,9
0xe8cd1710d34fbe9606c89c683ecc5091e6ab9f20,9
0x24c2ea5be4b6ae747307dcb19432f6ca9714c2d9,8
0x253e7a0f331be9c2ec44b447974bf44cfdda2e16,8
0x291d086b8daf29bf78694c45713eaa5d738ac240,8
0x2bacb85d72904d24ff1dcb848bfe04d73de70995,8
0x2bf4ce7647464e22b10c9085cf9baefe64aee235,8
0x2c6d308ab00686107c3e39f18efc7d1fcbde860a,8
0x53cfce7957c2d20ecd4d593fdc45d75401320eef,8
0xa0ee257aa2789f94978f0fbc5052e181029c07b5,8
0x239ddc4a277895517b20789055a82aa868350a1f,7
0x8f385a4ec8035125fa2d832d4537dd3d13224e04,7
0x9c21ba638036f1bd0e9321c7ce95cd15657b3436,7
0x9c7845fdd9b7a75441dfd4544dfee895e4ffaf1e,7
0xa9fee8f645224c1fe41d6206e28de2742320789f,7
0xbd8f8f327bd0b99d63f182c5646e47ddda1f684b,7
0xc6aab15ac6ed7dffddbd7af145f3090068c4e9e5,7
0xcc5c949b3fecd399fc5c1b4d63d405bbb41f0db4,7
0xe57b547f8b478fb7f2ec4ff6fa442d2022a63576,7
0x05bb35dc114c1acaa0cb1bd7b5350ed9b2a0c4bf,6
0x49d7443d511642e2e9cf0daa86965e3e99cd690d,6
0x4ef4b4b69eafbc42a9649d318885232395cad41c,6
0x7e1f44bf8b87d01b59ba09d6273a8e2ed96ca28e,6
0xc79f68142bc7eadd594c1ad876398a12afcc6523,6
0x719e3ec78cdf6b021f338476ac30082ea0d1d21e,5
0x80e5ab4d46f60bcf9da08f317b0566b380f09ca7,5
0xec5e5e2ea1a803b354e5d68f0dcbec61be0193cb,5
0x360e68faccca8ca495c1b759fd9eee466db9fb32,4
0x48daab9f7ed6e3184c26d9ddaccc356d52d6237f,4
0x74511bae6216c85fc1365a1686503d1a7c69fb62,4
0x8b3d269a68c65cc1121dba28277e8e3b028a4edb,4
0xa4a962329b55a508233bea639ef0a42927ddc885,4
0xaf4bf59e983951b9969f6246e81915c771ba6e3c,4
0xc530e2adbacdb7327870c722588f9d62c868a8f0,4
0xd908975d213feae80094ed45a1ef286f20f8747f,4
0x0cd94e8b56496f040ed88cf9e487225a8a7e7005,3
0x10a0d56a0c1b6fde7fbca27b6ce2f3acab6ba8b6,3
0x58e4dd7aaf1d32884e324caedec2295d215517e9,3
0x73ccb557ae62a35556564113a49867ec898c4aa3,3
0x4141edff758773f869be8322fc31d9cd6a47d47f,2
0x4eb5d0252da1f45331639647dc133734a888747e,2
0x7d708f17b5e0d3351199dd7a24c1bfa25f83631b,2
0x91279317130a181a8afb6b641f63b5f00300732b,2
0xbd1d471243527ced8749f4cdff7a1cf683749d58,2
0xe4faf654e3851863b33bbd22e4acbcb37b324f53,2
0xe650a1453f8a2407561807690723734fbb109a49,2
0x00b4275b99a8b8dd08b121f9732a2959650e3731,1
0x19bd7171dd672cec1da775b9b4b1a572e7c6f0fb,1
0x2905d7e4d048d29954f81b02171dd313f457a4a4,1
0x5c2e112783a6854653b4bc7dc22248d3e592559c,1
0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,1
0x6a000f20005980200259b80c5102003040001068,1
0x6a10eeed9a86e1e50c2ea300ba87736edea4b091,1
0x6e4141d33021b52c91c28608403db4a0ffb50ec6,1
0x7ea6357c4c3c465bd1705828df6643039ddafafe,1
0x8e8fa6725fdd64879fb74651f203059aab2af01f,1
0x8f10b468b06c6fd214b65f87778827f7d113f996,1
0xd0ad6d7a39b21ad536431c893c1d2ffe96001094,1
0xd2b37ade14708bf18904047b1e31f8166d39612b,1
0xe29061ec0f86bf985553eac139d9051578f796f2,1
0xe89aab725a2b2c0656248dcccc894a04661be55a,1
0xeedf2115a56e82f7e490df3da799c89b820f5979,1
