address,balance
0x77bab32f75996de8075eba62aea7b1205cf7e004,3100221
0x5f7f3e256ab61566db3a8047b4405a52aa3517b2,1000000
0x3fb137161365f273ebb8262a26569c117b6cbafb,199999
